ShipmentID,Origin,OriginCountry,OriginRegion,Destination,DestinationCountry,DestinationRegion,PackageID,Weight,Cost,EventTime
377d4841-399c-4cc7-b632-477a3a54bb67,Los Angeles International Airport,US,North America,Los Angeles,US,North America,c7dc2801-f84f-43cd-a9c2-145c666d2ec4,51.13420199315081,78.20897001752391,2012-01-15 07:00:00
1775226a-01c4-4f3c-999f-ad933721f579,New York,US,North America,Newark Airport,US,North America,d25ba026-d483-4fc9-8db0-0842df621a95,65.6805457982975,12.141383981056098,2014-04-18 04:00:00
685dbdde-1d64-4960-ad2f-b5c64495251c,JFK Int. Airport,US,North America,New York,US,North America,a58dc276-6ce4-43fc-b012-4cce7ba9b6da,91.80235297905973,1.1427752653743073,2011-07-07 06:00:00
7ca7e845-0665-4b2c-bcca-85c31232aaa6,Charles de Gaulle Airport,FR,Europe,Paris,FR,Europe,c5800c52-569f-4173-8c4d-a50d8ccdd147,66.06103290198458,50.27932794202782,2013-01-02 16:00:00
6a96b051-d868-48c2-b007-1c5c99f67d98,Dubai International Airport,AE,Middle East,Dubai,AE,Middle East,36ead384-6feb-46a9-950d-55d025a2949c,42.533562871994256,25.279691689792283,2011-08-05 23:00:00
a5ca9a04-95f4-4b40-8212-f4dab9fd52b1,Melbourne Airport,AU,Australia,Melbourne,AU,Australia,c2e39c4e-1c66-4fb7-b444-9ea340d04265,53.00890352081116,0.49025370743023267,2010-03-05 14:00:00
c276ec29-91f3-449e-985d-5c71d856d04a,City of London Airport,UK,Europe,JFK Int. Airport,US,North America,a15f3662-9b5b-404a-b794-a7692ed0e60e,76.86306124914071,218.60717337728244,2013-01-18 12:00:00
9df0c1c3-0a04-4215-9ec2-79562b3d8e33,Los Angeles,US,North America,Los Angeles International Airport,US,North America,1cbbc040-ca05-4749-8d75-24ab80e0d973,65.22234032981656,66.35405148738154,2013-06-26 19:00:00
ff2ecff4-b261-4181-bec0-0f47374592df,JFK Int. Airport,US,North America,New York,US,North America,fb93c852-b4d5-441c-9d7b-62fdb8e0ea20,54.79064122817932,84.57953587048699,2012-12-10 16:00:00
f7f0d65c-8e06-47ee-a6aa-2e6b573f7d08,LaGuardia Airport,US,North America,New York,US,North America,03758f39-165e-4948-9059-2ff7f94b6df7,30.609258954873887,38.39838242648687,2014-09-14 19:00:00
874bc8c0-5e6f-4d03-a672-ad5575cec7ac,New York,US,North America,JFK Int. Airport,US,North America,dd57c529-6248-46d0-ad0f-2aa9e0ebdbd3,41.7105545367507,30.075273255175205,2010-10-06 15:00:00
83b176f3-05a1-464e-ba19-6cc644cbfa91,JFK Int. Airport,US,North America,Charles de Gaulle Airport,FR,Europe,b488f7dc-c844-4a62-8369-57f17f21d5bf,43.40818262708483,299.9748178959046,2011-07-30 06:00:00
e32c58be-e533-4354-9768-cf7244db0dea,Charles de Gaulle Airport,FR,Europe,Sydney Airport,AU,Australia,95a2eba6-1691-4b3a-b54d-8b596d9291dc,70.7571074093275,733.8783565266106,2014-05-20 13:00:00
f96d4d40-7a12-4e77-a909-cc9b00b813c8,Los Angeles,US,North America,Los Angeles International Airport,US,North America,77adcdc8-2177-4335-82a2-9e6ddfbc350e,47.06064018085051,52.91258045393782,2014-06-20 03:00:00
c276ec29-91f3-449e-985d-5c71d856d04a,JFK Int. Airport,US,North America,New York,US,North America,d36a495e-bdd4-411c-a0a5-2675e96aef85,1.9896717859966495,57.51199297160446,2013-01-18 15:00:00
4dc2532d-25a8-4b22-bd39-c24d941f1c51,Los Angeles International Airport,US,North America,Los Angeles,US,North America,b2f2bf0d-dd92-45f4-aca8-5a610cbdbf57,27.364949432433818,36.134286916496364,2014-08-14 15:00:00
1a331c9a-1a3d-4910-8061-b87ccf9a61a5,Los Angeles,US,North America,Los Angeles International Airport,US,North America,74c71b52-341e-441d-a8cc-b9205d402443,35.74007612640504,14.562551726053407,2011-11-18 14:00:00
00ba300b-1d6d-46bd-906f-12180806e46b,New York,US,North America,LaGuardia Airport,US,North America,e3bb3ba3-0e24-417c-a1ae-0333794128b8,87.97277396528023,53.194145995881414,2012-07-26 11:00:00
a419626b-dbaf-492c-a1a0-7261e80a86d9,Changi Airport,SG,Asia,JFK Int. Airport,US,North America,bddc951d-2ef4-4087-98d2-0cac5e46cdd9,39.706852841901096,479.10641678973946,2015-04-20 20:00:00
28758ce1-f4eb-4244-9bfa-4cc165ac52ec,New York,US,North America,JFK Int. Airport,US,North America,98a22a85-7853-4a71-9ec2-0cb695224b48,97.13073159770475,79.44152004548502,2013-10-07 17:00:00
33eebdc6-ea06-4906-b7df-70686e1e681a,Berlin,DE,Europe,Berlin Tegel Airport,DE,Europe,864fba2b-d6bf-4c5a-a7d7-b440e5c0ab18,49.75949770874214,81.32245048705404,2014-05-16 20:00:00
73732333-7559-4bda-bf18-949064a50495,JFK Int. Airport,US,North America,Dubai International Airport,AE,Middle East,826cbed8-e356-4285-93f0-d26b5980d53d,8.139174943670845,342.94138874748506,2014-06-11 20:00:00
