ShipmentID,Origin,OriginCountry,OriginRegion,Destination,DestinationCountry,DestinationRegion,PackageID,Weight,Cost,EventTime
0be22be6-0c0f-4104-b923-f2a3d7b6f46e,JFK Int. Airport,US,North America,Sydney Airport,AU,Australia,172a528d-6fec-466a-8461-10e853be7a92,32.31926571143683,317.81908140327107,2015-02-25 00:00:00
eb17b65e-0300-42fa-8ec4-a443a0cfc8ad,Dubai,AE,Middle East,Dubai International Airport,AE,Middle East,ba4f5dd9-6929-4baa-baa1-cbbc2d292065,70.48771475191239,77.89771163391946,2011-11-26 09:00:00
e8b5a381-b630-4e26-9d31-29aeb9846275,New Jersey,US,North America,New York,US,North America,dc9497e1-4e20-4212-8ce9-c15f8168beb1,53.80008931949823,47.392152575841436,2011-10-13 20:00:00
62c9c733-e701-4a4f-99f3-2ddccc03f11b,Haneda International Airport,JP,East Asia,Tokyo,JP,East Asia,6044936c-070c-472c-8a77-a11957c3487c,22.045886968407334,0.30951164814386756,2010-08-29 14:00:00
759c3e70-e643-420e-9e1b-2b8c72446ef0,Melbourne Airport,AU,Australia,Melbourne,AU,Australia,933977a5-4e22-453d-b692-bb85a75a8f01,53.90834692376143,26.51573656472014,2011-06-08 05:00:00
319186d0-7c78-4162-9fb9-b54f74a804e5,Dubai International Airport,AE,Middle East,Los Angeles International Airport,US,North America,6c4ba64b-b0ee-4ddf-a31c-4aeea0a3237d,58.24609457752482,715.7301301540649,2011-10-12 06:00:00
bd64844a-8a87-4753-beed-2b91a64e5bbb,Paris,FR,Europe,Charles de Gaulle Airport,FR,Europe,55f4f847-adb2-4657-82c4-5f3952b4cd1e,65.00840136336298,49.057017021898375,2013-08-12 16:00:00
e1d0ee1f-4497-4515-b8a5-704e10c0a5c5,Sydney Airport,AU,Australia,JFK Int. Airport,US,North America,dd28e923-ac21-4b3a-bc31-4c4c295f40ea,27.920023439395504,335.7957533429621,2013-01-11 03:00:00
6c07029b-0f22-4499-a378-fba7b0abeab2,City of London Airport,UK,Europe,JFK Int. Airport,US,North America,45a7369e-5434-4e4f-8fdb-51de3c262880,40.66167144453098,188.10110135952198,2010-04-28 01:00:00
5d4ec5af-81bd-456b-8b35-36b35163691b,LaGuardia Airport,US,North America,New York,US,North America,ac50427f-3a76-449a-8cec-7d05b6835cd6,11.915954526680828,92.83250442574176,2014-12-22 17:00:00
